person_id,username,password,role
7447677,Cristiano.C,pwjb,admin
9898118,Lionel.L,1i1r,member
5662557,Manuel.M,9tuy,member
5687866,Robert.R,zbx1,member
3557832,Gareth.G,9jks,member
2592572,Thibaut.T,4sn6,member
1554306,Eden.E,x6dy,member
4788888,Thiago.T,sa4a,member
1863421,Sergio.S,h5c0,member
4865631,Paul.P,8lfa,member
7476758,Antoine.A,ix64,member
3938213,Marco.M,g4g9,member
8382345,Toni.T,epgy,member
1042748,Mats.M,a7u9,member
1228464,Hugo.H,3oz5,member
4850789,Giorgio.G,tiab,member
5484541,Philipp.P,807t,member
7998314,Gianluigi.G,j2ly,member
5086282,Leonardo.L,ibhw,member
8466074,Arjen.A,dink,faculty
2567260,Paulo.P,qa62,faculty
8347432,Marco.M,r4yn,faculty
4720327,David.D,vm0y,faculty
7525643,Henrikh.H,weic,faculty
2472659,Karim.K,cyh0,faculty
